tpb,gpuA,nX,time
64,0.0000,102400,528.48018096
64,8.0000,104448,374.44075068
64,16.0000,100352,307.20647343
64,24.0000,98304,263.40583365
64,32.0000,101376,242.39831937
64,40.0000,102400,264.25897718
64,48.0000,101376,268.97443626
64,56.0000,98304,274.83083055
64,64.0000,106496,321.07148342
64,72.0000,100352,319.47366849
64,80.0000,107520,364.04488567
64,0.0000,1003520,4363.58707037
64,8.0000,1001472,3589.81613865
64,16.0000,1003520,3074.98565929
64,24.0000,999424,2670.69324286
64,32.0000,1004544,2394.21668167
64,40.0000,1003520,2337.91117183
64,48.0000,1002496,2547.43699423
64,56.0000,1007616,2725.30251872
64,64.0000,998400,2853.51172298
64,72.0000,1003520,2988.50996766
64,80.0000,998400,3086.08095684
64,0.0000,9999360,43661.01984849
64,8.0000,10002432,35843.06263281
64,16.0000,9999360,30703.85828466
64,24.0000,10002432,26943.61587009
64,32.0000,9999360,23886.58319524
64,40.0000,10004480,23068.05461824
64,48.0000,10002432,25143.20210425
64,56.0000,10002432,26903.33895341
64,64.0000,9997312,28354.75411006
64,72.0000,10006528,29636.12185505
64,80.0000,9999360,30712.69297790
128,0.0000,102400,529.08255878
128,8.0000,98304,349.90850317
128,16.0000,100352,313.04418803
128,24.0000,98304,263.27751547
128,32.0000,110592,262.78224481
128,40.0000,102400,259.46590530
128,48.0000,112640,309.17567442
128,56.0000,98304,265.90362251
128,64.0000,106496,313.34176600
128,72.0000,114688,362.29546445
128,80.0000,122880,400.54855594
128,0.0000,1003520,4332.04456630
128,8.0000,1007616,3597.71376943
128,16.0000,1003520,3079.14852146
128,24.0000,999424,2666.11991651
128,32.0000,1013760,2417.01678926
128,40.0000,1003520,2282.78273605
128,48.0000,1013760,2513.18962569
128,56.0000,1007616,2667.19582784
128,64.0000,1011712,2826.81674003
128,72.0000,1003520,2926.62065105
128,80.0000,1013760,3064.06798234
128,0.0000,10004480,42916.41756714
128,8.0000,10002432,36059.88123027
128,16.0000,10006528,30642.20330392
128,24.0000,10010624,26817.28422760
128,32.0000,10008576,23845.61380423
128,40.0000,10014720,22610.13258620
128,48.0000,10002432,24629.45044397
128,56.0000,10002432,26338.39231207
128,64.0000,10010624,27804.61652702
128,72.0000,10006528,29045.50348264
128,80.0000,10014720,30134.39515079
192,0.0000,107520,554.43714299
192,8.0000,110592,393.84041041
192,16.0000,107520,328.28943360
192,24.0000,98304,264.23960096
192,32.0000,110592,262.78857083
192,40.0000,122880,309.34585938
192,48.0000,101376,260.57713798
192,56.0000,110592,309.15761396
192,64.0000,119808,359.67893662
192,72.0000,129024,402.22074659
192,80.0000,92160,305.93378913
192,0.0000,998400,4292.58332957
192,8.0000,1013760,3612.61930731
192,16.0000,1010688,3078.66590955
192,24.0000,1007616,2697.14447241
192,32.0000,995328,2358.35108019
192,40.0000,1013760,2288.60900397
192,48.0000,1013760,2494.15402493
192,56.0000,995328,2617.10368333
192,64.0000,998400,2762.97493468
192,72.0000,1032192,2982.28697290
192,80.0000,1013760,3040.00150590
192,0.0000,9999360,42818.11989726
192,8.0000,10008576,35677.53794293
192,16.0000,9999360,30558.32898688
192,24.0000,10002432,27117.20040275
192,32.0000,10008576,23828.04760857
192,40.0000,10014720,22364.04503503
192,48.0000,10002432,24353.86707149
192,56.0000,10027008,26104.91928718
192,64.0000,10023936,27526.47185255
192,72.0000,10020864,28750.57962679
192,80.0000,9999360,29746.06932156
256,0.0000,102400,529.48636077
256,8.0000,98304,352.37112925
256,16.0000,114688,349.35293453
256,24.0000,98304,263.47233899
256,32.0000,110592,262.44333103
256,40.0000,122880,307.92930296
256,48.0000,90112,256.98575117
256,56.0000,98304,265.00721773
256,64.0000,106496,312.87699110
256,72.0000,114688,362.27330565
256,80.0000,122880,399.47668593
256,0.0000,1003520,4815.64519069
256,8.0000,1007616,3595.81892807
256,16.0000,1003520,3063.18676661
256,24.0000,1015808,2711.42374665
256,32.0000,995328,2371.16418661
256,40.0000,1024000,2327.30693524
256,48.0000,991232,2461.26982310
256,56.0000,1032192,2738.26526153
256,64.0000,1011712,2827.02382122
256,72.0000,1032192,3010.23303635
256,80.0000,1044480,3160.78310448
256,0.0000,10014720,42844.92608101
256,8.0000,10002432,35692.95822037
256,16.0000,10006528,30560.70524904
256,24.0000,9994240,26730.16331853
256,32.0000,10027008,23837.00758219
256,40.0000,9994240,22589.66218621
256,48.0000,10002432,24544.73971138
256,56.0000,10027008,26310.65317444
256,64.0000,10010624,27711.11075131
256,72.0000,10035200,29012.36668584
256,80.0000,10014720,30023.10863563
320,0.0000,102400,533.02191272
320,8.0000,122880,441.80382006
320,16.0000,107520,327.95210286
320,24.0000,122880,329.26915896
320,32.0000,92160,248.26249274
320,40.0000,102400,297.79345092
320,48.0000,112640,350.04813482
320,56.0000,122880,398.62609736
320,64.0000,133120,452.44059350
320,72.0000,143360,500.35458390
320,80.0000,153600,555.66795982
320,0.0000,998400,4297.55086356
320,8.0000,1013760,3646.91101679
320,16.0000,1003520,3156.93811615
320,24.0000,1024000,2738.01696182
320,32.0000,1013760,2401.40347788
320,40.0000,1024000,2700.06299609
320,48.0000,1013760,2912.40592994
320,56.0000,1044480,3205.30235767
320,64.0000,998400,3233.65433971
320,72.0000,1003520,3395.67711448
320,80.0000,998400,3502.29073279
320,0.0000,10009600,43136.12984549
320,8.0000,10014720,35749.94950011
320,16.0000,9999360,30503.05719423
320,24.0000,9994240,26671.53318330
320,32.0000,9999360,23769.25431856
320,40.0000,10035200,26179.91371910
320,48.0000,10024960,28530.57626450
320,56.0000,10014720,30470.70556348
320,64.0000,9984000,32042.61359602
320,72.0000,10035200,33644.79653906
320,80.0000,9984000,34713.85644804
384,0.0000,122880,615.98476318
384,8.0000,110592,392.81796605
384,16.0000,129024,393.04056693
384,24.0000,98304,265.29474509
384,32.0000,110592,262.27306161
384,40.0000,122880,309.85850072
384,48.0000,135168,363.68078537
384,56.0000,147456,415.76451252
384,64.0000,159744,470.98922115
384,72.0000,86016,264.99825929
384,80.0000,92160,310.55433173
384,0.0000,1013760,4353.58418950
384,8.0000,995328,3549.44060128
384,16.0000,1032192,3146.28956692
384,24.0000,1032192,2759.70945164
384,32.0000,995328,2356.31993957
384,40.0000,1044480,2387.11682577
384,48.0000,1013760,2530.13802308
384,56.0000,1032192,2753.80939009
384,64.0000,1038336,2916.56673191
384,72.0000,1032192,3027.33321275
384,80.0000,1013760,3085.10084592
384,0.0000,10014720,42841.80431730
384,8.0000,10027008,35954.88317429
384,16.0000,10020864,30675.11272809
384,24.0000,10027008,26784.10191503
384,32.0000,10008576,23763.08493198
384,40.0000,10014720,22674.36346128
384,48.0000,10002432,24704.03211930
384,56.0000,10027008,26484.31275572
384,64.0000,9984000,27817.25284599
384,72.0000,10063872,29283.33667417
384,80.0000,10045440,30315.94705369
448,0.0000,107520,553.28880747
448,8.0000,129024,458.20089087
